dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,categories,updated_on,source,all_topics,dimensions
BankCreditAndDeposits,BankCredit,Value,IN,98609160000000.0,,2019-11-22,,INR,MacroSearchEngine,True,{},2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][BankCreditAndDeposits][Value][IN],
BankCreditAndDeposits,BankCredit,YoY,IN,0.07974583873840468,,2019-11-22,,Percentage,MacroSearchEngine,True,{},2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[IN][BankCredit][BankCreditAndDeposits][YoY],
BankCreditAndDeposits,BankCredit,Value,IN,913040000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[FoodCredit][Value][IN][BankCredit][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.26305887560867647,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[FoodCredit][BankCredit][YoY][IN][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,97696120000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][IN][NonFoodCredit][BankCredit][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.07828327394813805,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][YoY][NonFoodCredit][IN][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,96628190000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][BankCreditAndDeposits][IN][BankCredit][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
BankCreditAndDeposits,BankCredit,YoY,IN,0.08318010507368911,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][BankCreditAndDeposits][YoY][IN][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
BankCreditAndDeposits,BankCredit,Value,IN,236220000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""InlandBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][InlandBillsPurchased][IN][BankCredit][BankCreditAndDeposits],[InlandBillsPurchased]
BankCreditAndDeposits,BankCredit,YoY,IN,0.2210276026051896,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""InlandBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][InlandBillsPurchased][YoY][IN][BankCreditAndDeposits],[InlandBillsPurchased]
BankCreditAndDeposits,BankCredit,Value,IN,1203520000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""InlandBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][IN][InlandBillsDiscounted][BankCredit][BankCreditAndDeposits],[InlandBillsDiscounted]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.10627933226400521,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""InlandBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][YoY][InlandBillsDiscounted][IN][BankCreditAndDeposits],[InlandBillsDiscounted]
BankCreditAndDeposits,BankCredit,Value,IN,230710000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""ForeignBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][IN][ForeignBillsPurchased][BankCredit][BankCreditAndDeposits],[ForeignBillsPurchased]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.049872333415698855,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""ForeignBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][YoY][ForeignBillsPurchased][IN][BankCreditAndDeposits],[ForeignBillsPurchased]
BankCreditAndDeposits,BankCredit,Value,IN,310520000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""ForeignBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[Value][BankCredit][IN][BankCreditAndDeposits][ForeignBillsDiscounted],[ForeignBillsDiscounted]
BankCreditAndDeposits,BankCredit,YoY,IN,-0.0743732673562465,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""ForeignBillsDiscounted"": ""SubcategoryOfBankCredit""}",2019-12-13,https://rbi.org.in/Scripts/WSSView.aspx?Id=23421,[BankCredit][YoY][IN][BankCreditAndDeposits][ForeignBillsDiscounted],[ForeignBillsDiscounted]
BankCreditAndDeposits,BankDeposits,Value,IN,129587550000000.0,,2019-11-22,,INR,MacroSearchEngine,True,{},2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[IN][BankCreditAndDeposits][Value][BankDeposits],
