period_end,updated_on,label,codetype,code,CPI,CPI_YoY,weight,lower_label,region
2025-07-31,2025-08-12,Curry Powder (gm),item_code,1.1.10.1.1.08.0,218.0,2.68,0.1796,curry powder (gm),
2025-07-31,2025-08-12,Dates,item_code,1.1.06.2.1.03.0,240.2,3.98,0.04157,dates,
2025-07-31,2025-08-12,Dhania (gm),item_code,1.1.10.1.1.03.0,206.5,-0.43,0.33415,dhania (gm),
2025-07-31,2025-08-12,Dhoti (no.),item_code,3.1.01.1.1.01.0,205.4,1.43,0.07465,dhoti (no.),
2025-07-31,2025-08-12,Diesel for Vehicle,item_code,6.1.03.2.1.02.0,189.1,0.16,0.148,diesel for vehicle,
2025-07-31,2025-08-12,Diesel (litre) [excl. Conveyance],item_code,5.1.01.3.1.04.0,158.4,0.06,0.00243,diesel (litre) [excl. conveyance],
2025-07-31,2025-08-12,Doctor’s/ Surgeon’s Fee-first Consultation (non-institutional),item_code,6.1.02.2.2.07.0,221.6,3.94,0.79049,doctor’s/ surgeon’s fee-first consultation (non-institutional),
2025-07-31,2025-08-12,Domestic Servant/cook,item_code,6.1.01.7.2.01.X,208.9,4.45,0.63912,domestic servant/cook,
2025-07-31,2025-08-12,Dry Chillies (gm),item_code,1.1.10.1.1.06.0,238.0,-11.95,0.5751,dry chillies (gm),
2025-07-31,2025-08-12,Dung Cake,item_code,5.1.01.4.1.05.0,187.6,1.19,0.44196,dung cake,
2025-07-31,2025-08-12,Earthenware,item_code,6.1.01.4.1.06.0,228.5,4.96,0.02858,earthenware,
2025-07-31,2025-08-12,Eggs (no.),item_code,1.1.03.1.1.01.0,198.7,2.26,0.43085,eggs (no.),
2025-07-31,2025-08-12,Electric Batteries,item_code,6.1.01.5.1.03.0,170.7,1.91,0.01063,electric batteries,
2025-07-31,2025-08-12,"Electric Bulb, Tubelight",item_code,6.1.01.5.1.01.X,146.4,1.53,0.18174,"electric bulb, tubelight",
2025-07-31,2025-08-12,Electric Fan,item_code,6.1.01.3.1.07.0,145.9,1.04,0.01542,electric fan,
