dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,144.1742587101176,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Energy_Transport][CPI],[Energy_Transport],"{""Energy_Transport"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,144.18364236283202,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Energy_Transport][CPI],[Energy_Transport],"{""Energy_Transport"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,9.662350298434191,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Services][CPI],[Communication Services],"{""Communication Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,171.68700044703274,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Services][CPI],[Communication Services],"{""Communication Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,143.30000000000004,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Services][CPI],[Communication Services],"{""Communication Services"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,0.1600000000000108,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Equipment][CPI],[Communication Equipment],"{""Communication Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,127.99999999999997,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Equipment][CPI],[Communication Equipment],"{""Communication Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,128.10000000000002,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Communication Equipment][CPI],[Communication Equipment],"{""Communication Equipment"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,13.54,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Personal_Care][CPI],[Personal_Care],"{""Personal_Care"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,14.81,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Personal_Care][CPI],[Personal_Care],"{""Personal_Care"": ""ConsumptionCategory""}"
