dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories,updated_on
CPI,CPI,YoY,IN,1.34,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Bicycle(without Accessories)][YoY][IN],[Bicycle(without Accessories)],"{""Bicycle(without Accessories)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.92,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Bidi (no.)],[Bidi (no.)],"{""Bidi (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,4.54,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Biscuits, Chocolates, etc.][YoY][IN]","[Biscuits, Chocolates, etc.]","{""Biscuits, Chocolates, etc."": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,9.05,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Black Pepper (gm)],[Black Pepper (gm)],"{""Black Pepper (gm)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.68,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Books, Journals: First Hand][YoY][IN]","[Books, Journals: First Hand]","{""Books, Journals: First Hand"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.58,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Bread (bakery)],[Bread (bakery)],"{""Bread (bakery)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.68,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Brinjal][YoY][IN],[Brinjal],"{""Brinjal"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.4,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods][YoY][IN]","[Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods]","{""Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.19,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Bus/tram Fare][YoY][IN],[Bus/tram Fare],"{""Bus/tram Fare"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,5.7,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Butter][YoY][IN],[Butter],"{""Butter"": ""ConsumptionItem""}",2025-08-12
